campaign,ad_name,lifetime_spend,lifetime_leads,lifetime_cpl,first_seen_week,last_seen_week,weeks_active
W,W 2602_4,190.39,2,95.195,2026-W09,2026-W17,3
W,W 2603_1,604.7800000000001,17,35.57529411764706,2026-W10,2026-W33,13
M,M 2603_3,148.29,2,74.145,2026-W13,2026-W14,2
W,Womens Ad E,80.59,1,80.59,2025-W34,2025-W34,1
M,Mens Ad A,1302.8799999999997,26,50.110769230769215,2025-W23,2026-W33,30
M,Mens Ad N,484.22999999999996,8,60.528749999999995,2026-W02,2026-W20,6
W,Womens Ad I,248.11999999999998,3,82.70666666666666,2025-W39,2025-W40,2
M,Mens Ad J,3666.04,93,39.41978494623656,2025-W48,2026-W31,23
M,Mens Ad M,305.73,4,76.4325,2025-W49,2025-W51,3
W,W 2026-W06 2,111.12,1,111.12,2026-W07,2026-W10,3
W,M 2603_2,143.76,1,143.76,2026-W11,2026-W13,3
W,W 2603_4,301.62,5,60.324,2026-W13,2026-W16,4
W,W 2605_1,310.68,6,51.78,2026-W20,2026-W23,4
W,Womens Ad B,326.06,5,65.212,2025-W23,2025-W33,5
W,Womens Ad D,946.15,16,59.134375,2025-W34,2026-W19,12
M,Mens Ad F,125.13,1,125.13,2025-W41,2025-W42,2
W,Womens Ad N,185.44,3,61.81333333333333,2026-W02,2026-W03,2
W,Womens Ad A,1480.9199999999998,36,41.13666666666666,2025-W23,2026-W20,15
M,Mens Ad C,365.58,5,73.116,2025-W35,2025-W40,6
M,Mens Ad D,95.37,1,95.37,2025-W36,2025-W36,1
M,M 2605_1,207.13,4,51.7825,2026-W21,2026-W24,4
M,Mens Ad E,216.45999999999998,2,108.22999999999999,2025-W37,2025-W40,3
W,Womens Ad J,500.2700000000001,6,83.37833333333334,2025-W40,2026-W20,6
W,Womens Ad L,147.46,1,147.46,2025-W49,2025-W49,1
M,Mens Ad O,127.47,1,127.47,2026-W05,2026-W07,3
M,M 2604_1,232.02,1,232.02,2026-W18,2026-W19,2
W,Womens Ad K,65.81,0,,2025-W41,2025-W42,2
W,Womens Ad O,116.99000000000001,2,58.495000000000005,2026-W02,2026-W03,2
M,M 2607_1,520.5799999999999,12,43.38166666666666,2026-W31,2026-W33,3
M,Mens Ad B,1401.33,28,50.0475,2025-W23,2026-W17,17
W,Womens Ad G,388.9,6,64.81666666666666,2025-W36,2025-W51,7
M,M 2602_1,285.32,4,71.33,2026-W09,2026-W10,2
W,Womens Ad C,70.61,0,,2025-W25,2025-W33,5
W,Womens Ad H,158.07,0,,2025-W38,2025-W39,2
W,W 2603_2,421.53,5,84.306,2026-W10,2026-W23,5
W,W 2603_3,14.370000000000001,0,,2026-W12,2026-W13,2
M,Mens Ad G,118.94,0,,2025-W41,2025-W41,1
M,Mens Ad K,125.47999999999999,0,,2025-W50,2025-W51,2
W,Womens Ad R,96.91,1,96.91,2026-W05,2026-W05,1
W,W 2026-W06 1,0.0,0,,2026-W08,2026-W08,1
M,Mens Ad H,229.95999999999998,3,76.65333333333332,2025-W42,2025-W43,2
W,Womens Ad M,287.05,4,71.7625,2025-W50,2025-W51,2
W,Womens Ad Q,142.64,2,71.32,2026-W04,2026-W05,2
W,W 2602_3,140.09,2,70.045,2026-W07,2026-W07,1
W,W 2606_1,1019.6899999999999,16,63.730624999999996,2026-W26,2026-W31,6
W,W 2607_1,539.73,4,134.9325,2026-W31,2026-W33,3
W,Womens Ad F,74.85,1,74.85,2025-W35,2025-W35,1
W,Womens Ad P,1194.07,18,66.33722222222222,2026-W04,2026-W26,11
M,M 2603_1,257.28999999999996,4,64.32249999999999,2026-W11,2026-W13,3
